"age","gender","job","online_hours","app","notifications","work_hours","self_prod_score","actual_prod_score","stress","sleep_hours","screen_time_before_sleep","breaks_during_work","focus_app","digital_wellbeing","coffee","burnout_days","weekly_offline_hours","job_score","age_group"
56,"Male","Unemployed",4.18093977584041,"Facebook",61,6.75355840556201,8,7,4,5.11654550219878,0.419102430444063,8,FALSE,FALSE,4,11,21.9270724372731,6,"Old Adults"
46,"Male","Health",3.24960295371668,"Twitter",59,9.16929611963351,5,5,7,5.10389675655394,0.671519184795999,7,TRUE,TRUE,2,25,0,3,"Middle-Aged Adults"
32,"Male","Finance",3.11341808497847,"Twitter",57,7.91095203440904,4,3,4,8.58322181529496,0.624377615879826,0,TRUE,FALSE,3,17,10.3220442744356,2,"Middle-Aged Adults"
60,"Female","Unemployed",3.11341808497847,"Facebook",59,6.35502721923619,3,2,6,6.05298417988897,1.20454040342809,1,FALSE,FALSE,0,4,23.8766156338825,2,"Old Adults"
25,"Male","IT",3.11341808497847,"Telegram",66,6.21409629014824,9,5,7,5.40570647741632,1.87625369321261,1,FALSE,TRUE,1,30,10.6535187242095,10,"Young Adult"
38,"Male","Finance",1.51256840145879,"Twitter",50,6.42931204574961,6,4,5,5.51525079666962,1.51861195853642,5,FALSE,TRUE,5,2,0,5,"Middle-Aged Adults"
56,"Female","Unemployed",4.38106980740935,"TikTok",60,3.90230883728752,6,6,7,7.54984870353225,2.2526236582685,4,FALSE,FALSE,4,20,24.0849051037178,6,"Old Adults"
36,"Female","Education",4.08916777662834,"Twitter",49,6.5604674347394,3,2,4,6.32550693877066,0.747997640684565,2,FALSE,FALSE,4,29,8.41964839457452,3,"Middle-Aged Adults"
40,"Female","Education",4.09740093477855,"Instagram",57,5.8395901485254,3,3,4,6.50024746176046,0,10,FALSE,TRUE,2,10,0,2,"Middle-Aged Adults"
28,"Male","IT",3.34155865766666,"Twitter",57,11.0220346095779,9,8,4,3.95254705744966,1.02863956973386,5,TRUE,TRUE,1,3,13.5145149525526,9,"Young Adult"
41,"Female","Finance",2.20006056988005,"Twitter",59,10.147731948932,8,5,9,6.09128260610507,0.889256294790399,8,TRUE,FALSE,4,30,8.73244911064571,6,"Middle-Aged Adults"
53,"Male","Student",2.71575967240387,"TikTok",77,5.63715397676172,9,8,5.51405894077449,4.5592580627169,0.599292992599622,5,FALSE,FALSE,0,15,4.95675515688739,9,"Old Adults"
57,"Male","Education",0,"Twitter",60,6.8224418555077,9,8,5,6.764830217637,1.34106988669805,3,FALSE,FALSE,4,27,18.0526562043741,8,"Old Adults"
41,"Male","Education",3.77332630804627,"TikTok",65,8.636782458133,8,7,10,7.92116111852186,1.26344621597391,6,TRUE,FALSE,4,20,12.7679738692849,7,"Middle-Aged Adults"
20,"Male","Student",5.82631129658803,"TikTok",67,4.7184970731444,3,3,5,8.30119829715758,1.08708144324397,9,FALSE,FALSE,4,0,8.09588094449939,2,"Young Adult"
39,"Male","Finance",2.30580301900367,"Twitter",64,7.05082106021993,7,7,9,4.84760814588951,0.0701891824176556,2,FALSE,FALSE,3,9,12.1106199326514,5,"Middle-Aged Adults"
19,"Male","Health",5.62121969926198,"Twitter",52,8.20191640703844,2,2,1,5.2232112988402,1.95723889796818,3,FALSE,FALSE,2,6,20.0326490948234,2,"Young Adult"
41,"Female","Health",3.11341808497847,"Twitter",47,8.61898405293509,9,7,5,6.2759586043818,0,2,FALSE,FALSE,2,26,0.22951067785773,6,"Middle-Aged Adults"
61,"Female","Education",1.44535772364821,"Twitter",62,6.41989820705024,7,6,6,6.9754133978772,0,4,TRUE,TRUE,3,17,14.0889586818428,5,"Old Adults"
55,"Female","Finance",0.0715034686384337,"TikTok",50,7.09323705135249,9,8,5,5.22328345533401,0.880364673552882,2,FALSE,FALSE,1,21,4.72050127510353,9,"Old Adults"
19,"Male","Health",5.91604425961786,"Twitter",65,6.59275748574967,4,3,5,5.54658230549127,0.829939131545859,1,FALSE,FALSE,2,22,10.6194887832882,3,"Young Adult"
